,rosbagTimestamp,secs,nsecs,frame_id,child_frame_id,x,y,z,qx,qy,qz,qw
721,1.60600529802717e+18,1603863772,406404018,"""world""","""camera_link""",-0.01708521338109995,0.03357250279130033,1.7856240364999991,-0.006599287179754722,-0.7065265052060345,0.012983842146309769,0.707536689291224
725,1.60600529813193e+18,1603863772,510142087,"""world""","""camera_link""",-0.017849085687599946,0.035635436456800326,1.844934078839999,-0.00743669891893073,-0.7056748200073812,0.012580906081504374,0.7083851104582222
729,1.60600529823767e+18,1603863772,613760948,"""world""","""camera_link""",-0.018235369995199948,0.037140565527600325,1.9054170491599989,-0.007405064414686402,-0.7046316383824494,0.012656402955634086,0.7094217607852921
733,1.60600529832981e+18,1603863772,717494964,"""world""","""camera_link""",-0.01879543504519995,0.03960379807920032,1.964338773849999,-0.009704091575941504,-0.703843696482787,0.010549730671183168,0.7102102397958634
739,1.60600529844193e+18,1603863772,821114063,"""world""","""camera_link""",-0.018911821492899952,0.04183162853320033,2.0256231643399993,-0.009593199789760452,-0.7040633513648181,0.010617900193762554,0.7099929774147135
743,1.60600529854688e+18,1603863772,924733877,"""world""","""camera_link""",-0.01882185891489995,0.04304306197340033,2.084944402949999,-0.009752429016974037,-0.7046540547603032,0.010739008967645782,0.7094027254842805
747,1.60600529865231e+18,1603863773,28347969,"""world""","""camera_link""",-0.01911619727769995,0.04535480980450032,2.143897804789999,-0.010544253175429969,-0.705505522391302,0.009827267112925742,0.7085578320937816
751,1.60600529875426e+18,1603863773,132111072,"""world""","""camera_link""",-0.019662261753699953,0.04712653806560031,2.2033726904999993,-0.010810398830968144,-0.7054647564793807,0.010324298109395006,0.7085873421894805
755,1.60600529885697e+18,1603863773,235704898,"""world""","""camera_link""",-0.01933460576999995,0.04987777093680032,2.263658447809999,-0.010605037482418542,-0.7053158801747705,0.011348848459880675,0.7087229684382468
759,1.60600529896105e+18,1603863773,339318990,"""world""","""camera_link""",-0.01967128517569995,0.051508987142700316,2.322864723969999,-0.011156436796091173,-0.7050015864011019,0.011756314463748509,0.7090205118049646
763,1.60600529906987e+18,1603863773,443063020,"""world""","""camera_link""",-0.02063069413129995,0.05366637176400032,2.381460240489999,-0.012503257363808017,-0.7062243638638467,0.010789073021412281,0.7077954593975142
767,1.60600529916955e+18,1603863773,546674966,"""world""","""camera_link""",-0.021260834476199954,0.05594945860340032,2.439660644569999,0.012968932017489443,0.7076273681539457,-0.01086295524865861,-0.7063832605923724
771,1.60600529925956e+18,1603863773,650434970,"""world""","""camera_link""",-0.02178865162659995,0.058573184606100316,2.503764095259999,0.013057221726606475,0.7079589151332059,-0.01049352473217678,-0.7060549336863893
775,1.60600529936241e+18,1603863773,754030942,"""world""","""camera_link""",-0.02289134799959995,0.060707589985200316,2.562162092489999,-0.01274032115554497,-0.7066079452378099,0.011091781355454354,0.7074036106283433
